title,rating,genre,director,star,score
Lonely Hearts,R,Biography,Todd Robinson,John Travolta,6.4
Scarface,R,Crime,Brian De Palma,Al Pacino,8.3
The Outsiders,PG,Crime,Francis Ford Coppola,C. Thomas Howell,7.1
Star Wars: Episode VI - Return of the Jedi,PG,Action,Richard Marquand,Mark Hamill,8.3
Risky Business,R,Comedy,Paul Brickman,Tom Cruise,6.8
National Lampoon's Vacation,R,Adventure,Harold Ramis,Chevy Chase,7.4
Trading Places,R,Comedy,John Landis,Eddie Murphy,7.5
Superman III,PG,Action,Richard Lester,Christopher Reeve,5.0
The Big Chill,R,Comedy,Lawrence Kasdan,Tom Berenger,7.2
Staying Alive,PG,Drama,Sylvester Stallone,John Travolta,4.7
Jaws 3-D,PG,Adventure,Joe Alves,Dennis Quaid,3.7
Christine,R,Horror,John Carpenter,Keith Gordon,6.7
Sleepaway Camp,R,Horror,Robert Hiltzik,Felissa Rose,6.3
Flashdance,R,Drama,Adrian Lyne,Jennifer Beals,6.2
WarGames,PG,Action,John Badham,Matthew Broderick,7.1
The Right Stuff,PG,Adventure,Philip Kaufman,Sam Shepard,7.8
Krull,PG,Action,Peter Yates,Ken Marshall,6.1
Spring Break,R,Comedy,Sean S. Cunningham,David Knell,4.9
The Dead Zone,R,Drama,David Cronenberg,Christopher Walken,7.2
Octopussy,PG,Action,John Glen,Roger Moore,6.5
Private School,R,Comedy,Noel Black,Phoebe Cates,5.3
Valley Girl,R,Comedy,Martha Coolidge,Nicolas Cage,6.4
Rumble Fish,R,Crime,Francis Ford Coppola,Matt Dillon,7.2
Videodrome,R,Horror,David Cronenberg,James Woods,7.2
Terms of Endearment,PG,Comedy,James L. Brooks,Shirley MacLaine,7.4
Twilight Zone: The Movie,PG,Horror,Directors,Dan Aykroyd,6.5
Never Say Never Again,PG,Action,Irvin Kershner,Sean Connery,6.2
A Christmas Story,PG,Comedy,Bob Clark,Peter Billingsley,7.9
Cujo,R,Horror,Lewis Teague,Dee Wallace,6.1
Sudden Impact,R,Action,Clint Eastwood,Clint Eastwood,6.6
The Hunger,R,Drama,Tony Scott,Catherine Deneuve,6.7
Mr. Mom,PG,Comedy,Stan Dragoti,Michael Keaton,6.6
Blue Thunder,R,Action,John Badham,Roy Scheider,6.4
Breathless,R,Action,Jim McBride,Richard Gere,5.9
Psycho II,R,Crime,Richard Franklin,Anthony Perkins,6.5
Local Hero,PG,Comedy,Bill Forsyth,Burt Lancaster,7.4
Bad Boys,R,Crime,Rick Rosenthal,Sean Penn,7.2
Bad Boys,R,Action,Michael Bay,Will Smith,6.9
Silkwood,R,Biography,Mike Nichols,Meryl Streep,7.2
All the Right Moves,R,Drama,Michael Chapman,Tom Cruise,5.9
The Keep,R,Drama,Michael Mann,Scott Glenn,5.7
My Tutor,R,Comedy,George Bowers,Matt Lattanzi,5.2
Yentl,PG,Drama,Barbra Streisand,Barbra Streisand,6.6
Fire and Ice,PG,Animation,Ralph Bakshi,Randy Norton,6.6
Eddie and the Cruisers,PG,Drama,Martin Davidson,Tom Berenger,6.9
Yellowbeard,PG,Action,Mel Damski,Graham Chapman,6.0
The Meaning of Life,R,Comedy,Terry Jones,John Cleese,7.5
Nostalghia,Not Rated,Drama,Andrei Tarkovsky,Oleg Yankovskiy,8.1
Smokey and the Bandit Part 3,PG,Action,Dick Lowry,Jackie Gleason,3.5
Deathstalker,R,Action,James Sbardellati,Rick Hill,4.6
Porky's II: The Next Day,R,Comedy,Bob Clark,Dan Monahan,5.0
Something Wicked This Way Comes,PG,Fantasy,Jack Clayton,Jason Robards,6.8
Tender Mercies,PG,Drama,Bruce Beresford,Robert Duvall,7.4
Star 80,R,Biography,Bob Fosse,Mariel Hemingway,6.7
Gorky Park,R,Crime,Michael Apted,William Hurt,6.7
Lone Wolf McQuade,PG,Action,Steve Carver,Chuck Norris,6.3
Easy Money,R,Comedy,James Signorelli,Rodney Dangerfield,6.3
Merry Christmas Mr. Lawrence,R,Drama,Nagisa Ôshima,David Bowie,7.3
Losin' It,R,Comedy,Curtis Hanson,Tom Cruise,4.9
Screwballs,R,Comedy,Rafal Zielinski,Peter Keleghan,4.7
Brainstorm,PG,Sci-Fi,Douglas Trumbull,Christopher Walken,6.4
The Man with Two Brains,R,Comedy,Carl Reiner,Steve Martin,6.4
Angel,R,Action,Robert Vincent O'Neil,Cliff Gorman,5.7
10 to Midnight,R,Crime,J. Lee Thompson,Charles Bronson,6.3
Uncommon Valor,R,Action,Ted Kotcheff,Gene Hackman,6.4
Mortuary,R,Horror,Howard Avedis,Mary Beth McDonough,5.2
Stroker Ace,PG,Action,Hal Needham,Burt Reynolds,4.9
Sahara,PG,Adventure,Andrew V. McLaglen,Brooke Shields,5.0
Sahara,PG-13,Action,Breck Eisner,Matthew McConaughey,6.0
Two of a Kind,PG,Comedy,John Herzfeld,John Travolta,4.7
Chained Heat,R,Action,Paul Nicholas,Linda Blair,5.0
Spacehunter: Adventures in the Forbidden Zone,PG,Action,Lamont Johnson,Peter Strauss,5.5
High Road to China,PG,Adventure,Brian G. Hutton,Tom Selleck,6.1
Never Cry Wolf,PG,Adventure,Carroll Ballard,Charles Martin Smith,7.5
The Pirates of Penzance,G,Comedy,Wilford Leach,Kevin Kline,7.1
Rock & Rule,PG,Animation,Clive Smith,Don Francks,6.5
Hercules,PG,Adventure,Luigi Cozzi,Lou Ferrigno,4.0
Hercules,G,Animation,Ron Clements,Tate Donovan,7.3
Hercules,PG-13,Action,Brett Ratner,Dwayne Johnson,6.0
Educating Rita,PG,Comedy,Lewis Gilbert,Michael Caine,7.2
A Night in Heaven,R,Drama,John G. Avildsen,Christopher Atkins,4.3
Under Fire,R,Drama,Roger Spottiswoode,Nick Nolte,7.0
Amityville 3-D,PG,Horror,Richard Fleischer,Tony Roberts,4.1
Testament,PG,Drama,Lynne Littman,Jane Alexander,7.0
The Osterman Weekend,R,Action,Sam Peckinpah,Rutger Hauer,5.9
Revenge of the Ninja,R,Action,Sam Firstenberg,Shô Kosugi,6.1
Zelig,PG,Comedy,Woody Allen,Woody Allen,7.7
Independence Day,R,Drama,Robert Mandel,Kathleen Quinlan,6.5
Independence Day,PG-13,Action,Roland Emmerich,Will Smith,7.0
To Be or Not to Be,PG,Comedy,Alan Johnson,Mel Brooks,6.8
Eureka,R,Drama,Nicolas Roeg,Gene Hackman,6.0
The Wicked Lady,R,Adventure,Michael Winner,Faye Dunaway,4.7
